animeID,name,scored
659,Gakuen Heaven,6.74
660,Ouran Koukou Host Club,8.34
661,Strawberry Panic,7.41
662,Utawarerumono,7.74
663,Air Gear,7.64
664,Digimon Savers,7.07
665,Makai Senki Disgaea,6.85
666,Joshikousei: Girl&#039;s High,6.65
667,Slayers Gorgeous,7.4
668,Slayers Great,7.39
669,Dragon Half,6.99
670,Mahou Shoujo-tai Arusu,7.19
671,Digimon Tamers,7.65
672,Mind Game,7.85
673,Nana,8.51
674,Zegapain,7.43
675,Simoun,7.54
676,Aa! Megami-sama!: Sorezore no Tsubasa,7.66
677,Green Green OVA,6.09
678,Yuu☆Yuu☆Hakusho (Movie),6.94
679,Yuu☆Yuu☆Hakusho: Meikai Shitou-hen - Honoo no Kizuna,7.31
680,Shin Angyo Onshi,6.95
681,Tenshi no Tamago,7.63
682,Amaenaide yo!! Katsu!!,6.83
683,Megami Kouhosei Special Curriculum,6.42
684,Megami Kouhosei,6.51
685,Black Lagoon,8.13
686,Yuusha-Ou GaoGaiGar,7.93
687,Dragon Ball Movie 2: Majinjou no Nemuri Hime,6.99
688,Dragon Ball Movie 3: Makafushigi Daibouken,7.05
689,Dragon Ball Movie 4: Saikyou e no Michi,7.29
690,Dragon Ball Z Movie 01: Ora no Gohan wo Kaese!!,6.88
691,Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu,6.83
692,Dragon Ball Z Movie 03: Chikyuu Marugoto Choukessen,6.93
693,Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,6.79
694,Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou,7.21
695,Dragon Ball Z Movie 06: Gekitotsu!! 100-oku Power no Senshi-tachi,7.03
696,Dragon Ball Z Movie 07: Kyokugen Battle!! Sandai Super Saiyajin,7.09
697,Dragon Ball Z Movie 09: Ginga Girigiri!! Bucchigiri no Sugoi Yatsu,7.31
698,Dragon Ball Z Movie 10: Kiken na Futari! Super Senshi wa Nemurenai,7.04
699,Dragon Ball Z Movie 11: Super Senshi Gekiha!! Katsu no wa Ore da,6.19
700,Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta,7.69
701,Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Goku ga Yaraneba Dare ga Yaru,7.5
702,Princess Princess,7.13
703,Fullmetal Alchemist: Premium Collection,7.42
704,Geneshaft,6.45
705,Himawari!,6.41
